"Story","Title","Result","Date","Stability","Duration (s)"
"Verify API automation on reqres website","To verify Rest service - GET method","SUCCESS","2022-06-21T21:26:32.262+01:00[Europe/London]","0.0","2.47"
"Verify API automation on reqres website","To verify Rest service for single user","ERROR","2022-06-21T21:26:35.645+01:00[Europe/London]","0.0","0.01"
"Verify API automation on reqres website","To verify Rest service for create user endpoint","SUCCESS","2022-06-21T21:26:35.749+01:00[Europe/London]","0.0","0.42"
"Verify API automation on reqres website","To verify Rest service for update user endpoint","ERROR","2022-06-21T21:26:36.197+01:00[Europe/London]","0.0","0.03"
"Verify API automation on reqres website","To verify Rest service for delete user endpoint","FAILURE","2022-06-21T21:26:36.252+01:00[Europe/London]","0.0","0.25"
"Verify API automation on reqres website","To verify Rest service for login endpoint","SUCCESS","2022-06-21T21:26:36.550+01:00[Europe/London]","0.0","0.21"
